ID,Label,Definition,Classification,symptoms
http://purl.obolibrary.org/obo/DOID_8986,narcolepsy,"A sleep disorder that involves an excessive urge to sleep at inappropriate times, such as while at work.|Xref MGI.",,
http://purl.obolibrary.org/obo/OGMS_0000096,health care process,"A planned process with the objective to improve the health status of a patient that directly involves the treatment, diagnosis, or prevention of disease or injury of a patient",,
http://purl.obolibrary.org/obo/OGMS_0000079,portion of pathological body substance,"TODO: Define, relate to disorder, and place in the OGMS hierarchy.",,
http://purl.obolibrary.org/obo/NBO_0000272,social facilitation,,,
http://purl.obolibrary.org/obo/GO_0050909,sensory perception of taste,"The series of events required for an organism to receive a gustatory stimulus, convert it to a molecular signal, and recognize and characterize the signal. Gustation involves the direct detection of chemical composition, usually through contact with chemoreceptor cells. This is a neurological process.",,
http://purl.obolibrary.org/obo/DOID_9923,developmental coordination disorder,A specific developmental disorder that involves disordered motor skills where coordinated muscle movement is impaired.,,
http://purl.obolibrary.org/obo/GO_0050957,equilibrioception,"The series of events required for an organism to receive an orientational stimulus, convert it to a molecular signal, and recognize and characterize the signal. Equilibrioception refers to a combination of processes by which an organism can perceive its orientation with respect to gravity. In animals, stimuli come from labyrinth system of the inner ears, monitoring the direction of motion; visual stimuli, with information on orientation and motion; pressure receptors, which tell the organism which body surfaces are in contact with the ground; and proprioceptive cues, which report which parts of the body are in motion.",,
http://purl.obolibrary.org/obo/MFOMD_0000054,gambling addiction,A process addiction in which the patient compulsively gambles.,,
http://purl.obolibrary.org/obo/MFOMD_0000097,psychotic disorder due to a general medical condition,"In this disorder the psychotic symptoms are judged to be a direct physiological consequence of a general medical condition. 

DSM-IV-TR (American Psychiatric Association)",,
http://purl.obolibrary.org/obo/behavior.owl/NBO_0003161,addiction response,Behavior response to an addictive substance resulting from dependence of that addictive substance as well as unctronllable cravings of that substance. [NBOC:GVG],,
http://purl.obolibrary.org/obo/MFOMD_0000053,process addiction,"  An addiction to a process, which might be a behaviour, such as gambling, or procrastination.           |Increasingly referred to as process addiction or non-substance-related addiction, behavioral addiction includes a compulsion to repeatedly engage in an action until said action causes serious negative consequences to the person's physical, mental, social, and/or financial well-being. One sign that a behavior has become addictive is if it persists despite these consequences. [Wikipedia: http://en.wikipedia.org/wiki/Behavioral_addiction]|Process or behaviour addiction is not included in DSM-IV. Behavioral addiction has been proposed as a new class in DSM-5, but the only category included is gambling addiction. Internet addiction and sex addiction are included in the appendix. [Wikipedia:http://en.wikipedia.org/wiki/Behavioral_addiction]",,
http://purl.obolibrary.org/obo/NBO_0000464,perception of motion behavior,"""Perception relating to the process of inferring the speed and direction of elements in a scene based on visual, vestibular and proprioceptive inputs."" [wikipedia:Motion_perception]",,
