idPessoa,data_hora,trabalho_proprio,historico_familiar,tratamento,interferencia_trabalho,trabalho_remoto,empresa_ti,conhece_opcoes,programa_saude,busca_tratamento,anonimidade,licenca_medica,mental_consequencia,fisica_consequencia,mental_entrevista,fisica_entrevista,mental_fisica,houve_consequencias
1,2014-08-27 11:29:31,NA,No,Yes,Often,No,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No
2,2014-08-27 11:29:37,NA,No,No,Rarely,No,No,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No
3,2014-08-27 11:29:44,NA,No,No,Rarely,No,Yes,No,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,No,No
4,2014-08-27 11:29:46,NA,Yes,Yes,Often,No,Yes,Yes,No,No,No,Somewhat difficult,Yes,Yes,Maybe,Maybe,No,Yes
5,2014-08-27 11:30:22,NA,No,No,Never,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Don't know,No
6,2014-08-27 11:31:22,NA,Yes,No,Sometimes,No,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,No,Maybe,Don't know,No
7,2014-08-27 11:31:50,NA,Yes,Yes,Sometimes,Yes,Yes,No,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,Don't know,No
8,2014-08-27 11:32:05,NA,No,No,Never,Yes,Yes,Yes,No,No,Yes,Don't know,No,No,No,No,No,No
9,2014-08-27 11:32:39,NA,Yes,Yes,Sometimes,No,Yes,Yes,No,No,No,Very difficult,Maybe,No,No,Maybe,No,No
10,2014-08-27 11:32:43,NA,No,No,Never,No,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Maybe,Maybe,Yes,No
11,2014-08-27 11:32:44,NA,No,Yes,Sometimes,Yes,Yes,No,No,No,Don't know,Don't know,No,No,No,No,Don't know,No
12,2014-08-27 11:32:49,NA,No,No,Never,Yes,Yes,Not sure,No,No,Don't know,Don't know,No,No,Yes,Yes,Don't know,No
13,2014-08-27 11:33:23,NA,Yes,Yes,Sometimes,No,No,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Maybe,Maybe,No,Yes
14,2014-08-27 11:33:26,NA,Yes,No,Never,No,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No
15,2014-08-27 11:33:57,NA,No,No,Never,No,Yes,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No
16,2014-08-27 11:34:00,NA,Yes,Yes,Rarely,No,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Maybe,Maybe,Don't know,No
17,2014-08-27 11:34:20,NA,No,Yes,Sometimes,Yes,Yes,No,Don't know,Don't know,Don't know,Very easy,Maybe,No,Maybe,Maybe,No,No
18,2014-08-27 11:34:37,NA,No,Yes,Sometimes,No,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No
